"
Swap Counterparty and    Reference Obligation","
Buy/SellProtection","
NotionalAmount(000)","
Pay/ReceiveFixed Rate","
TerminationDate","
UpfrontPaymentPaid(Received)(000)","
UnrealizedDepreciation(000)","
Value(000)","
CreditRating ofReferenceObligation (Unaudited)",CIK,Reporting Type,Report Year
"
Barclays Bank PLCRussian Federation","
Sell","
5,904000",1.0,"
3/20/20","
(815000","
(145000","
(960000","
BBB-",0000836487,N-CSR,15
"
Barclays Bank PLCRussian Federation","
Sell","
3,270000",1.0,"
3/20/20","
(452000","
(80000","
(532000","
BBB-",0000836487,N-CSR,15
"
Goldman Sachs InternationalAustralian Government","
Buy","
1,195000",1.0,"
3/20/20","
(35000","
(4000","
(39000","
AAA",0000836487,N-CSR,15
"
Goldman Sachs InternationalAustralian Government","
Buy","
225000",1.0,"
3/20/20","
(7000","
(1000","
(8000","
AAA",0000836487,N-CSR,15
"
Goldman Sachs InternationalAustralian Government","
Buy","
3,117000",1.0,"
3/20/20","
(91000","
(17000","
(108000","
AAA",0000836487,N-CSR,15
"
JPMorgan Chase Bank NAPeople's Republic of China","
Buy","
7,212000",1.0,"
3/20/20","
12000","
(63000","
(51000","
BBB-",0000836487,N-CSR,15
"
JPMorgan Chase Bank NAAustralian Government","
Buy","
4,315000",1.0,"
3/20/20","
(126000","
(16000","
(142000","
AAA",0000836487,N-CSR,15
"
JPMorgan Chase Bank NAAustralian Government","
Buy","
3,661000",1.0,"
3/20/20","
(107000","
(14000","
(121000","
AAA",0000836487,N-CSR,15
"
JPMorgan Chase Bank NAAustralian Government","
Buy","
264000",1.0,"
3/20/20","
(8000","
(1000","
(9000","
AAA",0000836487,N-CSR,15
"
JPMorgan Chase Bank NAPeople's Republic of China","
Buy","
2,132000",1.0,"
3/20/20","
4000","
(19000","
(15000","
BBB-",0000836487,N-CSR,15
"
JPMorgan Chase Bank NAPeople's Republic of China","
Buy","
1,178000",1.0,"
3/20/20","
(5000","
(3000","
(8000","
BBB-",0000836487,N-CSR,15
"
JPMorgan Chase Bank NAPeople's Republic of China","
Buy","
302000",1.0,"
3/20/20","
(1000","
(1000","
(2000","
BBB-",0000836487,N-CSR,15
"
JPMorgan Chase Bank NAPeople's Republic of China","
Buy","
3,210000",1.0,"
3/20/20","
(14000","
(9000","
(23000","
BBB-",0000836487,N-CSR,15
"
JPMorgan Chase Bank NAPeople's Republic of China","
Buy","
2,527000",1.0,"
3/20/20","
(11000","
(7000","
(18000","
BBB-",0000836487,N-CSR,15
"
JPMorgan Chase Bank NAPeople's Republic of China","
Buy","
1,528000",1.0,"
3/20/20","
(7000","
(4000","
(11000","
BBB-",0000836487,N-CSR,15
"
JPMorgan Chase Bank NAPeople's Republic of China","
Buy","
2,879000",1.0,"
3/20/20","
(12000","
(8000","
(20000","
BBB-",0000836487,N-CSR,15
"
JPMorgan Chase Bank NAPeople's Republic of China","
Buy","
5,188000",1.0,"
3/20/20","
(22000","
(14000","
(36000","
BBB-",0000836487,N-CSR,15
"
JPMorgan Chase Bank NAAustralian Government","
Buy","
2,820000",1.0,"
3/20/20","
(88000","
(4000","
(92000","
AAA",0000836487,N-CSR,15
"
JPMorgan Chase Bank NAAustralian Government","
Buy","
4,901000",1.0,"
3/20/20","
(154000","
(8000","
(162000","
AAA",0000836487,N-CSR,15
"
JPMorgan Chase Bank NAAustralian Government","
Buy","
2,320000",1.0,"
3/20/20","
(73000","
(4000","
(77000","
AAA",0000836487,N-CSR,15
"
JPMorgan Chase Bank NARussian Federation","
Sell","
1,115000",1.0,"
3/20/20","
(152000","
(30000","
(182000","
BBB-",0000836487,N-CSR,15
"
JPMorgan Chase Bank NARussian Federation","
Sell","
1,362000",1.0,"
3/20/20","
(185000","
(36000","
(221000","
BBB-",0000836487,N-CSR,15
"
JPMorgan Chase Bank NARussian Federation","
Sell","
31000",1.0,"
3/20/20","
(4000","
(1000","
(5000","
BBB-",0000836487,N-CSR,15
"
JPMorgan Chase Bank NARussian Federation","
Sell","
1,331000",1.0,"
3/20/20","
(181000","
(35000","
(216000","
BBB-",0000836487,N-CSR,15
"
JPMorgan Chase Bank NARussian Federation","
Sell","
600000",1.0,"
3/20/20","
(82000","
(16000","
(98000","
BBB-",0000836487,N-CSR,15
"
JPMorgan Chase Bank NARussian Federation","
Sell","
417000",1.0,"
3/20/20","
(57000","
(11000","
(68000","
BBB-",0000836487,N-CSR,15
